AssignmentCode,AssignmentName,AssignmentType,AssignmentSubject,AP Course,IB Course,CTE Course,MeetsUC/CSU Requirements,EffectiveStartDate,EffectiveEndDate
1000,Self-Contained Class,T,Self-Contained Class,N,N,N,N,7/1/1990,
2100,Reading improvement/developmental reading,T,English Language Arts,N,N,N,N,7/1/1990,
2101,Comprehensive English,T,English Language Arts,N,N,N,U,7/1/1990,
2102,Basic English/Language Art (Proficiency Devel.),T,English Language Arts,N,N,N,N,7/1/1990,
2105,American literature,T,English Language Arts,N,N,N,U,7/1/1990,
2106,English literature,T,English Language Arts,N,N,N,U,7/1/1990,
2107,Ethnic literature,T,English Language Arts,N,N,N,U,7/1/1990,
2108,World literature,T,English Language Arts,N,N,N,U,7/1/1990,
2109,Other literature,T,English Language Arts,N,N,N,U,7/1/1990,
2110,English Language Development,T,English Language Arts,N,N,N,U,7/1/1990,
2111,Journalism,T,English Language Arts,N,N,N,U,7/1/1990,
2112,Speech,T,English Language Arts,N,N,N,U,7/1/1990,
2113,Composition,T,English Language Arts,N,N,N,U,7/1/1990,
2114,Advanced composition,T,English Language Arts,N,N,N,U,7/1/1990,
2115,Forensics,T,English Language Arts,N,N,N,U,7/1/1990,
2116,Language structure/language arts,T,English Language Arts,N,N,N,U,7/1/1990,
2117,Science fiction,T,English Language Arts,N,N,N,U,7/1/1990,
2118,Expository Reading and Writing,T,English Language Arts,N,N,N,Y,7/1/2011,
2120,Reading (state funded Miller-Unruh spec),T,English Language Arts,N,N,N,N,7/1/1990,
2130,English 9,T,English Language Arts,N,N,N,U,7/1/1990,
2131,English 10,T,English Language Arts,N,N,N,U,7/1/1990,
2132,English 11,T,English Language Arts,N,N,N,U,7/1/1990,
2133,English 12,T,English Language Arts,N,N,N,U,7/1/1990,
2160,IB   Language A1 (English)-literature,T,English Language Arts,N,Y,N,Y,7/1/1990,
2161,MYP Language A,T,English Language Arts,N,Y,N,U,7/1/1990,
2170,AP   English Language,T,English Language Arts,Y,N,N,Y,7/1/1990,
2171,AP   English Literature,T,English Language Arts,Y,N,N,Y,7/1/1990,
2198,Other English course,T,English Language Arts,N,N,N,U,7/1/1990,
2200,German (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2201,German (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2202,Italian (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2203,Italian (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2204,French (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2205,French (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2206,Spanish (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2207,Spanish (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2208,Russian (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2209,Russian (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2210,Latin (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2211,Latin (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2212,Korean (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2213,Korean (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2214,Chinese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2215,Chinese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2216,Japanese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2217,Japanese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2218,Portuguese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2219,Portuguese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2220,Vietnamese (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2221,Vietnamese (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2223,Chinese for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2224,Korean for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2225,Spanish for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2226,Other language course for native speakers,T,Foreign Languages,N,N,N,Y,7/1/1990,
2227,Filipino (first and second year),T,Foreign Languages,N,N,N,Y,7/1/1990,
2228,Filipino (advanced),T,Foreign Languages,N,N,N,Y,7/1/1990,
2230,American sign language,T,Foreign Languages,N,N,N,Y,7/1/1990,
2260,IB  Language A (non-English),T,Foreign Languages,N,Y,N,Y,7/1/1990,
2261,IB  Language B,T,Foreign Languages,N,Y,N,Y,7/1/1990,
2262,IB  Classical languages,T,Foreign Languages,N,Y,N,Y,7/1/1990,
2263,IB  Language  A2,T,Foreign Languages,N,Y,N,Y,7/1/1990,
2264,IB  Ab initio,T,Foreign Languages,N,Y,N,U,7/1/1990,
2265,MYP Language B,T,Foreign Languages,N,Y,N,U,7/1/1990,
2270,AP  French language,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2271,AP  French literature,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2272,AP  German language,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2273,AP  Latin-Vergil,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2274,AP  Latin literature,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2275,AP  Spanish language,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2276,AP  Spanish literature,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2277,AP  Italian Language and Culture,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2278,AP  Chinese Language and Culture,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2279,AP Japanese Language and Culture,T,Foreign Languages,Y,N,N,Y,7/1/1990,
2298,Other foreign language course,T,Foreign Languages,N,N,N,Y,7/1/1990,
2300,Band,T,Music,N,N,N,U,7/1/1990,
2303,Orchestra/symphony,T,Music,N,N,N,U,7/1/1990,
2305,Chorus/choir/vocal ensemble,T,Music,N,N,N,U,7/1/1990,
2307,Music appreciation/history/literature,T,Music,N,N,N,U,7/1/1990,
2308,Music theory,T,Music,N,N,N,U,7/1/1990,
2309,Composition/songwriting,T,Music,N,N,N,U,7/1/1990,
2316,Voice class,T,Music,N,N,N,U,7/1/1990,
2322,Musical theater,T,Music,N,N,N,U,7/1/1990,
2323,Computers and electronics/digital music,T,Music,N,N,N,U,7/1/1990,
2324,Instrumental music lessons (elem school stand),T,Music,N,N,N,N,7/1/1990,
2325,Instrumental music lessons (sec school stand),T,Music,N,N,N,U,7/1/1990,
2326,General/classroom/exploratory music (elem),T,Music,N,N,N,N,7/1/1990,
2327,General/exploratory/introduction to music (sec),T,Music,N,N,N,U,7/1/1990,
2328,Instrumental ensemble,T,Music,N,N,N,U,7/1/1990,
2352,Dance choreography and production,T,Dance,N,N,N,U,7/1/1990,
2353,"Dance, Movement, & Rhythmic Fund.(elem stand)",T,Dance,N,N,N,N,7/1/1990,
2354,Folk/traditional dance,T,Dance,N,N,N,U,7/1/1990,
2355,"Dance, Movement, & Rhythmic Fund(sec standards)",T,Dance,N,N,N,U,7/1/1990,
2356,Advanced Dance Study (Independent or Studio),T,Dance,N,N,N,U,7/1/1990,
2357,"Ballet, Modern, Jazz, World Dance",T,Dance,N,N,N,U,7/1/1990,
2358,Other dance course,T,Dance,N,N,N,U,7/1/1990,
2360,IB  Music,T,Music,N,Y,N,Y,7/1/1990,
2361,MYP Music,T,Music,N,Y,N,N,7/1/1990,
2370,AP  Music theory,T,Music,Y,N,N,Y,7/1/1990,
2398,Other music course,T,Music,N,N,N,U,7/1/1990,
2400,General math/basic math/vocational math,T,Mathematics,N,N,N,N,7/1/1990,
2401,Consumer math/senior math,T,Mathematics,N,N,N,N,7/1/1990,
2402,Remedial math/proficiency development,T,Mathematics,N,N,N,N,7/1/1990,
2403,Beginning algebra/algebra I (one year course),T,Mathematics,N,N,N,U,7/1/1990,
2404,Intermediate algebra/algebra II,T,Mathematics,N,N,N,Y,7/1/1990,
2407,Trigonometry,T,Mathematics,N,N,N,Y,7/1/1990,
2408,Intermediate algebra and trigonometry,T,Mathematics,N,N,N,Y,7/1/1990,
2409,Solid geometry/trigonometry,T,Mathematics,N,N,N,Y,7/1/1990,
2410,Probability and Statistics,T,Mathematics,N,N,N,Y,7/1/1990,
2411,Modern abstract algebra,T,Mathematics,N,N,N,Y,7/1/1990,
2412,Linear Algebra,T,Mathematics,N,N,N,Y,7/1/1990,
2413,Geometry,T,Mathematics,N,N,N,Y,7/1/1990,
2414,Analytic geometry/pre-calculus,T,Mathematics,N,N,N,Y,7/1/1990,
2415,Calculus,T,Mathematics,N,N,N,Y,7/1/1990,
2417,Adv algebra/adv geometry/symbolic logic/theory,T,Mathematics,N,N,N,Y,7/1/1990,
2420,Math A,T,Mathematics,N,N,N,N,7/1/1990,
2421,Math B,T,Mathematics,N,N,N,N,7/1/1990,
2422,Math analysis,T,Mathematics,N,N,N,Y,7/1/1990,
2423,Accelerated math (any of grades 4-8),T,Mathematics,N,N,N,N,7/1/1990,
2424,Pre-algebra,T,Mathematics,N,N,N,N,7/1/1990,
2425,Integrated mathematics I college prep,T,Mathematics,N,N,N,U,7/1/1990,
2426,Integrated mathematics II college prep,T,Mathematics,N,N,N,U,7/1/1990,
2427,Integrated mathematics III college prep,T,Mathematics,N,N,N,U,7/1/1990,
2428,Beginning Algebra Part 1(1st yr of 2 yr course),T,Mathematics,N,N,N,U,7/1/1990,
2429,Beginning Algebra Part 2 (2nd of 2 year course),T,Mathematics,N,N,N,Y,7/1/1990,
2430,Integrated Mathematics IV (college preparatory),T,Mathematics,N,N,N,U,7/1/1990,
2431,Math 6 (grade 6 standards),T,Mathematics,N,N,N,N,7/1/1990,
2432,Math 7 (grade 7 standards),T,Mathematics,N,N,N,N,7/1/1990,
2433,Algebra Readiness,T,Mathematics,N,N,N,U,7/1/1990,
2450,Computer literacy,T,Computer Education,N,N,N,U,7/1/1990,
2451,Computer programming,T,Computer Education,N,N,N,U,7/1/1990,
2453,Computer science,T,Computer Education,N,N,N,U,7/1/1990,
2454,Computer lab,T,Computer Education,N,N,N,N,7/1/1990,
2455,Web design,T,Computer Education,N,N,N,N,7/1/1990,
2458,Other computer education course,T,Computer Education,N,N,N,U,7/1/1990,
2460,IB  Mathematical studies,T,Mathematics,N,Y,N,Y,7/1/1990,
2461,IB  Mathematical methods,T,Mathematics,N,Y,N,Y,7/1/1990,
2462,IB  Mathematics higher level,T,Mathematics,N,Y,N,Y,7/1/1990,
2463,IB  Advanced mathematics,T,Mathematics,N,Y,N,Y,7/1/1990,
2464,MYP Coordinated Program of Math (CPM),T,Mathematics,N,Y,N,U,7/1/1990,
2465,IB  Computer science,T,Computer Education,N,Y,N,Y,7/1/1990,
2466,IB  Information technology in a global society,T,Computer Education,N,Y,N,U,7/1/1990,
2467,MYP Algebra (I or II),T,Mathematics,N,Y,N,U,7/1/1990,
2468,MYP Geometry and/or Trigonometry,T,Mathematics,N,Y,N,U,7/1/1990,
2469,MYP Integrated Math Program,T,Mathematics,N,Y,N,U,7/1/1990,
2470,AP  Computer science A,T,Computer Education,Y,N,N,Y,7/1/1990,
2471,AP  Computer science AB,T,Computer Education,Y,N,N,Y,7/1/1990,
2479,MYP Computer Technology,T,Computer Education,N,Y,N,N,7/1/1990,
2480,AP  Calculus AB,T,Mathematics,Y,N,N,Y,7/1/1990,
2481,AP  Calculus BC,T,Mathematics,Y,N,N,Y,7/1/1990,
2483,AP  Statistics,T,Mathematics,Y,N,N,Y,7/1/1990,
2498,Other mathematics course,T,Mathematics,N,N,N,U,7/1/1990,
2503,Adapted Physical Education,T,Physical Education,N,N,N,N,7/1/1990,
2505,Military science,T,Special Designated Subjects,N,N,N,N,7/1/1990,
2506,Elective Physical Education Adventure/Outdoor Activities,T,Physical Education,N,N,N,N,7/1/1990,
2507,Elective Physical Education Aerobic Activities,T,Physical Education,N,N,N,N,7/1/1990,
2508,Elective Physical Education Aquatic Activities,T,Physical Education,N,N,N,N,7/1/1990,
2509,Elective Physical Education Dance (physical education standards),T,Physical Education,N,N,N,N,7/1/1990,
2510,Elective Physical Education Individual and Dual Activities,T,Physical Education,N,N,N,N,7/1/1990,
2511,Elective Physical Education Interscholastic Athletics,T,Physical Education,N,N,N,N,7/1/1990,
2512,Elective Physical Education Other,T,Physical Education,N,N,N,N,7/1/1990,
2513,Elective Physical Education Weight Training and Fitness,T,Physical Education,N,N,N,N,7/1/1990,
2514,High School Physical Education I ,T,Physical Education,N,N,N,N,7/1/1990,
2515,High School Physical Education II ,T,Physical Education,N,N,N,N,7/1/1990,
2516,Modified or Specially Designed Physical Education,T,Physical Education,N,N,N,N,7/1/1990,
2517,Physical Education K-8,T,Physical Education,N,N,N,N,7/1/1990,
2535,Health education,T,Physical Education,N,N,N,N,7/1/1990,
2536,Peer counseling/conflict management,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
2537,Life skills,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
2538,Other health education course(not incl in 2535),T,Physical Education,N,N,N,N,7/1/1990,
2545,Driver education,T,Special Designated Subjects,N,N,N,N,7/1/1990,
2546,Driver training,T,Special Designated Subjects,N,N,N,N,7/1/1990,
2548,Other safety education course,T,Special Designated Subjects,N,N,N,N,7/1/1990,
2560,MYP Physical Education,T,Physical Education,N,Y,N,N,7/1/1990,
2600,Astronomy,T,Science,N,N,N,U,7/1/1990,
2601,Aerospace education,T,Science,N,N,N,U,7/1/1990,
2602,Aviation education,T,Science,N,N,N,U,7/1/1990,
2603,Biology,T,Science,N,N,N,U,7/1/1990,
2604,Advanced biology,T,Science,N,N,N,U,7/1/1990,
2605,Botany,T,Science,N,N,N,U,7/1/1990,
2606,Zoology,T,Science,N,N,N,U,7/1/1990,
2607,Chemistry,T,Science,N,N,N,U,7/1/1990,
2608,Advanced chemistry,T,Science,N,N,N,U,7/1/1990,
2609,Oceanography,T,Science,N,N,N,U,7/1/1990,
2610,Physical science,T,Science,N,N,N,U,7/1/1990,
2611,General science,T,Science,N,N,N,U,7/1/1990,
2612,Environmental studies,T,Science,N,N,N,U,7/1/1990,
2613,Physics,T,Science,N,N,N,U,7/1/1990,
2614,Advanced physics,T,Science,N,N,N,U,7/1/1990,
2617,Conservation,T,Science,N,N,N,U,7/1/1990,
2618,Earth science,T,Science,N,N,N,U,7/1/1990,
2619,Energy education,T,Science,N,N,N,U,7/1/1990,
2620,Geology,T,Science,N,N,N,U,7/1/1990,
2621,Life science,T,Science,N,N,N,U,7/1/1990,
2622,Meteorology,T,Science,N,N,N,U,7/1/1990,
2624,Science projects,T,Science,N,N,N,U,7/1/1990,
2625,Space science,T,Science,N,N,N,U,7/1/1990,
2626,Coordinated/integrated science I,T,Science,N,N,N,U,7/1/1990,
2627,Coordinated/integrated science II,T,Science,N,N,N,U,7/1/1990,
2628,Coordinated/integrated science III,T,Science,N,N,N,U,7/1/1990,
2629,Coordinated/integrated science IV,T,Science,N,N,N,U,7/1/1990,
2633,Pacesetter science,T,Science,N,N,N,U,7/1/1990,
2635,Conceptual chemistry,T,Science,N,N,N,U,7/1/1990,
2636,Conceptual physics,T,Science,N,N,N,U,7/1/1990,
2652,Gen science with focus on earth sci(gd 6 stan),T,Science,N,N,N,N,7/1/1990,
2653,Gen science with focus on life sci(gd 7 stan),T,Science,N,N,N,N,7/1/1990,
2654,Gen science with focus on phys sci (gd 8 stan),T,Science,N,N,N,N,7/1/1990,
2655,Anatomy and Physiology,T,Science,N,N,N,U,7/1/1990,
2660,IB  Biology,T,Science,N,Y,N,Y,7/1/1990,
2661,IB Chemistry,T,Science,N,Y,N,Y,7/1/1990,
2662,IB  Physics,T,Science,N,Y,N,Y,7/1/1990,
2664,IB Environmental systems,T,Science,N,Y,N,Y,7/1/1990,
2665,"MYP Science (biology, chemistry, or physics)",T,Science,N,Y,N,N,7/1/1990,
2666,IB Design technology,T,Science,N,Y,N,U,7/1/1990,
2667,MYP IB Design Technology (IB Middle Years Prog),T,Computer Education,N,Y,N,N,7/1/1990,
2670,AP  Biology,T,Science,Y,N,N,Y,7/1/1990,
2671,AP  Chemistry,T,Science,Y,N,N,Y,7/1/1990,
2672,AP  Physics B,T,Science,Y,N,N,Y,7/1/1990,
2673,AP Physics C,T,Science,Y,N,N,Y,7/1/1990,
2674,AP  Environmental science,T,Science,Y,N,N,Y,7/1/1990,
2698,Other science course,T,Science,N,N,N,U,7/1/1990,
2700,Anthropology,T,History/Social Science,N,N,N,U,7/1/1990,
2701,Economics,T,History/Social Science,N,N,N,U,7/1/1990,
2702,Physical geography,T,History/Social Science,N,N,N,U,7/1/1990,
2703,Principles of Am. democracy/govnt and civics,T,History/Social Science,N,N,N,U,7/1/1990,
2705,International studies,T,History/Social Science,N,N,N,U,7/1/1990,
2706,Comparative political systems,T,History/Social Science,N,N,N,U,7/1/1990,
2707,Current events,T,History/Social Science,N,N,N,U,7/1/1990,
2708,California history,T,History/Social Science,N,N,N,U,7/1/1990,
2709,United States history,T,History/Social Science,N,N,N,U,7/1/1990,
2710,Ethnic studies,T,History/Social Science,N,N,N,U,7/1/1990,
2711,World history: survey,T,History/Social Science,N,N,N,U,7/1/1990,
2712,"Other history, culture, geography: survey",T,History/Social Science,N,N,N,U,7/1/1990,
2713,Philosophy,T,History/Social Science,N,N,N,U,7/1/1990,
2714,Psychology,T,History/Social Science,N,N,N,U,7/1/1990,
2715,Sociology,T,History/Social Science,N,N,N,U,7/1/1990,
2719,Student government,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
2722,Career education,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
2724,World regional geography,T,History/Social Science,N,N,N,U,7/1/1990,
2726,Comparative world religions,T,History/Social Science,N,N,N,U,7/1/1990,
2728,World cultures,T,History/Social Science,N,N,N,U,7/1/1990,
2730,Women's history,T,History/Social Science,N,N,N,U,7/1/1990,
2732,Law-related education,T,History/Social Science,N,N,N,U,7/1/1990,
2734,History-social science (any of grades K-8),T,History/Social Science,N,N,N,N,7/1/1990,
2748,Any humanities course,T,History/Social Science,N,N,N,U,7/1/1990,
2760,IB  Economics,T,History/Social Science,N,Y,N,Y,7/1/1990,
2761,IB  Geography,T,History/Social Science,N,Y,N,Y,7/1/1990,
2762,IB  History,T,History/Social Science,N,Y,N,Y,7/1/1990,
2763,IB  Psychology,T,History/Social Science,N,Y,N,Y,7/1/1990,
2764,IB  Philosophy,T,History/Social Science,N,Y,N,Y,7/1/1990,
2765,IB  Social anthropology,T,History/Social Science,N,Y,N,Y,7/1/1990,
2766,IB  Business organization,T,History/Social Science,N,Y,N,Y,7/1/1990,
2767,IB  History of the Islamic world,T,History/Social Science,N,Y,N,Y,7/1/1990,
2768,IB Theory of knowledge,T,History/Social Science,N,Y,N,Y,7/1/1990,
2769,MYP Humanities (history and/or geography),T,History/Social Science,N,Y,N,N,7/1/1990,
2770,AP Macroeconomics,T,History/Social Science,Y,N,N,Y,7/1/1990,
2771,AP Microeconomics,T,History/Social Science,Y,N,N,Y,7/1/1990,
2772,AP Comparative govt & politics,T,History/Social Science,Y,N,N,Y,7/1/1990,
2773,AP U.S. govt & politics,T,History/Social Science,Y,N,N,Y,7/1/1990,
2774,AP European history,T,History/Social Science,Y,N,N,Y,7/1/1990,
2775,AP United States history,T,History/Social Science,Y,N,N,Y,7/1/1990,
2776,AP Psychology,T,History/Social Science,Y,N,N,Y,7/1/1990,
2777,AP Human Geography,T,History/Social Science,Y,N,N,Y,7/1/1990,
2778,AP World History,T,History/Social Science,Y,N,N,Y,7/1/1990,
2798,Other social science course,T,History/Social Science,N,N,N,U,7/1/1990,
2800,Ceramics (Beginning and Advanced),T,Art,N,N,N,U,7/1/1990,
2801,Design,T,Art,N,N,N,U,7/1/1990,
2802,Crafts,T,Art,N,N,N,U,7/1/1990,
2803,Art history,T,Art,N,N,N,U,7/1/1990,
2805,Photography (Beginning or Advanced),T,Art,N,N,N,U,7/1/1990,
2806,Drawing,T,Art,N,N,N,U,7/1/1990,
2807,Painting,T,Art,N,N,N,U,7/1/1990,
2808,Advertising design,T,Art,N,N,N,U,7/1/1990,
2809,Cinematography/Artistic Videos (Begin or Adv),T,Art,N,N,N,U,7/1/1990,
2811,Jewelry,T,Art,N,N,N,U,7/1/1990,
2812,Sculpture,T,Art,N,N,N,U,7/1/1990,
2813,Fashion design,T,Art,N,N,N,U,7/1/1990,
2814,Fibers and textiles,T,Art,N,N,N,U,7/1/1990,
2815,Art appreciation (elementary school standards),T,Art,N,N,N,N,7/1/1990,
2816,Art appreciation (secondary school standards),T,Art,N,N,N,U,7/1/1990,
2817,Printmaking,T,Art,N,N,N,U,7/1/1990,
2818,Multicultural art/folk art,T,Art,N,N,N,U,7/1/1990,
2819,Lettering/calligraphy,T,Art,N,N,N,U,7/1/1990,
2820,Digital  Art/Computer Art/Artistic Graphics,T,Art,N,N,N,U,7/1/1990,
2821,Yearbook,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
2822,Fundamentals of Art (elem school standards),T,Art,N,N,N,N,7/1/1990,
2823,Fundamentals of Art(secondary school standards),T,Art,N,N,N,U,7/1/1990,
2860,IB  Art/design,T,Art,N,Y,N,Y,7/1/1990,
2861,MYP Visual Arts,T,Art,N,Y,N,N,7/1/1990,
2870,AP Art History,T,Art,Y,N,N,Y,7/1/1990,
2874,AP Studio Art: Drawing,T,Art,Y,N,N,Y,7/1/1990,
2875,AP Studio Art: Two Dimensional,T,Art,Y,N,N,Y,7/1/1990,
2876,AP Studio Art: Three Dimensional,T,Art,Y,N,N,Y,7/1/1990,
2898,Other art course,T,Art,N,N,N,U,7/1/1990,
2900,Theatre/play production (sec sch standards),T,Drama/Theater,N,N,N,U,7/1/1990,
2901,Theatre/creative dramatics (elem sch standards),T,Drama/Theater,N,N,N,U,7/1/1990,
2904,Advanced Theater,T,Drama/Theater,N,N,N,U,7/1/1990,
2905,Technical theater/stagecraft,T,Drama/Theater,N,N,N,U,7/1/1990,
2908,Media/film/Video/Television Production,T,Drama/Theater,N,N,N,U,7/1/1990,
2910,History/appreciation of theater arts/film,T,Drama/Theater,N,N,N,U,7/1/1990,
2960,IB Theater arts,T,Drama/Theater,N,Y,N,Y,7/1/1990,
2961,MYP Drama,T,Drama/Theater,N,Y,N,N,7/1/1990,
2998,Other drama/theater course,T,Drama/Theater,N,N,N,U,7/1/1990,
3020,Consultation/instructional support,T,Other Instruction-Related Assignments,N,N,N,N,7/1/1990,
4010,Plant and soil science,T,Agriculture and Natural Resources,N,N,Y,U,7/1/1990,6/30/2013
4011,Plant Science,T,Agriculture and Natural Resources,N,N,Y,U,7/1/2013,
4012,Soil Science,T,Agriculture and Natural Resources,N,N,Y,U,7/1/2013,
4013,Viticulture,T,Agriculture and Natural Resources,N,N,Y,U,7/1/2013,
